Disease,Title,Journal,Year,PMID
The clinical utility of long read sequencing to improve diagnostic yield and uncover biological mechanisms in rare disease,Editorial: The clinical utility of long read sequencing to improve diagnostic yield and uncover biological mechanisms in rare disease.,Frontiers in genetics,2024,39430165
s Disease,Effects of Multi-Sensory Stimulation on Apathy Symptoms in Elderly Patients with Alzheimer's Disease.,Iranian journal of public health,2024,39430139
Diabetic Kidney Disease,Efficacy and Safety of Adding Empagliflozin to Liraglutide on Renal Function in Patients with Advanced-Stage Type 2 Diabetic Kidney Disease: A Randomized Controlled Trial.,"Diabetes, metabolic syndrome and obesity : targets and therapy",2024,39430135
s disease,"Effect of heatwaves on mortality of Alzheimer's disease and other dementias among elderly aged 60 years and above in China, 2013-2020: a population-based study.",The Lancet regional health. Western Pacific,2024,39430125
Schlatter Disease,Association of Self-Reported Improvement After 4 Weeks and Outcomes After 52 Weeks Among Adolescents With Patellofemoral Pain and Osgood-Schlatter Disease.,Orthopaedic journal of sports medicine,2024,39430112
from the guardians of health to the regulators of disease,Unravelling monocyte functions: from the guardians of health to the regulators of disease.,Discovery immunology,2024,39430099
Analysis of mutations in Chinese patients with polycystic kidney disease,Analysis of mutations in Chinese patients with polycystic kidney disease by targeted exome sequencing.,Genes & diseases,2025,39430052
The triple radiologic asthma phenotype is associated with worse disease,The triple radiologic asthma phenotype is associated with worse disease control.,The journal of allergy and clinical immunology. Global,2024,39430035
Microvascular alterations of the ocular surface and retina in connective tissue disease,Microvascular alterations of the ocular surface and retina in connective tissue disease-related interstitial lung disease.,International journal of ophthalmology,2024,39430022
related interstitial lung disease,Microvascular alterations of the ocular surface and retina in connective tissue disease-related interstitial lung disease.,International journal of ophthalmology,2024,39430022
A Retrospective Observational Study Examining Physical Activity Among Adults in the United States With Angina or Coronary Heart Disease,A Retrospective Observational Study Examining Physical Activity Among Adults in the United States With Angina or Coronary Heart Disease.,Cureus,2024,39429995
Essential Thrombocythemia Possible Cause of Ischemic Cerebrovascular Disease,Essential Thrombocythemia Possible Cause of Ischemic Cerebrovascular Disease: A Case Report.,Cureus,2024,39429993
and cardiovascular disease,"Association between serum pyridoxal 5'-phosphate levels and all-cause, cardiovascular mortality, and cardiovascular disease in adults: a population-based cohort study.",Therapeutic advances in chronic disease,2024,39429976
The early diagnostic value of serum renalase level in diabetic kidney disease,The early diagnostic value of serum renalase level in diabetic kidney disease and diabetic macroangiopathy: a retrospective case-control study.,Therapeutic advances in chronic disease,2024,39429975
Assessment of Risk Factors for Coronary Artery Disease,Assessment of Risk Factors for Coronary Artery Disease and Severity by Coronary Computed Tomography Angiography Imaging.,International journal of general medicine,2024,39429962
s Disease,The Relationship Between Alzheimer's Disease and Pyroptosis and the Intervention Progress of Traditional Chinese Medicine.,International journal of general medicine,2024,39429958
Association Between Serum Zinc Concentration Levels And Severity Of Coronavirus Disease,Association Between Serum Zinc Concentration Levels And Severity Of Coronavirus Disease 2019 (Covid-19) In Japanese Inpatients.,International journal of general medicine,2024,39429954
MHR and NHR in Patients with Acute Myocardial Infarction and Their Extent of Coronary Artery Disease,"Analysis of the Clinical Predictive Value of the Novel Inflammatory Indices SII, SIRI, MHR and NHR in Patients with Acute Myocardial Infarction and Their Extent of Coronary Artery Disease.",Journal of inflammation research,2024,39429847
Neuropsychiatric prodromes and symptom timings in relation to disease,Neuropsychiatric prodromes and symptom timings in relation to disease onset and/or flares in SLE: results from the mixed methods international INSPIRE study.,EClinicalMedicine,2024,39429812
s disease,Promoting diversity in clinical trials: insights from planning the ALUMNI AD study in historically underrepresented US populations with early symptomatic Alzheimer's disease.,EClinicalMedicine,2024,39429811
Association of Physical Activity with Asthma and Chronic Obstructive Pulmonary Disease,Association of Physical Activity with Asthma and Chronic Obstructive Pulmonary Disease and Mediation of Frailty: Mendelian Randomization Analyses.,International journal of chronic obstructive pulmonary disease,2024,39429808
s disease,Cohort-specific boolean models highlight different regulatory modules during Parkinson's disease progression.,iScience,2024,39429779
A Hybrid Home Rehabilitation Program for Moyamoya Disease,A Hybrid Home Rehabilitation Program for Moyamoya Disease to Facilitate Return to Work and Functional Independence: A Case Report from a Developing Country during the COVID-19 Pandemic.,Acta medica Philippina,2023,39429770
Artificial intelligence enhanced infectious disease,Artificial intelligence enhanced infectious disease surveillance - A call for global collaboration.,New microbes and new infections,2024,39429727
Casting light on the national mission to eliminate sickle cell disease,Casting light on the national mission to eliminate sickle cell disease in India.,HemaSphere,2024,39429720
A rare manifestation of extrapulmonary disease,Sternal tuberculosis: A rare manifestation of extrapulmonary disease.,Radiology case reports,2025,39429715
Caroli disease,Caroli disease incidentally discovered in a 23-years old male: A case report.,Radiology case reports,2025,39429706
s disease,Discovery of plasma biomarkers related to blood-brain barrier dysregulation in Alzheimer's disease.,Frontiers in bioinformatics,2024,39429696
The Relapse Rate of Inflammatory Bowel Disease,The Relapse Rate of Inflammatory Bowel Disease (IBD) in Patients Who Discontinue Anti-TNF Therapy: A Systematic Review and Meta-Analysis.,Iranian journal of public health,2024,39429663
Stage Renal Disease,Long-Term Survival of Patient with End-Stage Renal Disease Using Bayesian Mixture Cure Rate Frailty Models.,Iranian journal of public health,2024,39429658
onset idiopathic Parkinson disease,The combination of <sup>18</sup>F-fluorodeoxyglucose and <sup>18</sup>F 9-fluoropropyl-(+)-dihydrotetrabenazine positron emission tomography for distinguishing between early-onset and late-onset idiopathic Parkinson disease and analyzing influencing factors.,Quantitative imaging in medicine and surgery,2024,39429607
The transition from hypertension to hypertensive heart disease,The transition from hypertension to hypertensive heart disease and heart failure with preserved ejection fraction: a retrospective cross-sectional study of myocardial magnetic resonance strain and tissue characteristics.,Quantitative imaging in medicine and surgery,2024,39429603
imaging in a patient suspected to have a lung tumor indicated myocardial ischemia caused by severe coronary artery disease,Focal myocardial <sup>18</sup>F-fluorodeoxyglucose (<sup>18</sup>F-FDG) uptake occasionally revealed by whole-body positron emission tomography/computed tomography (PET/CT) imaging in a patient suspected to have a lung tumor indicated myocardial ischemia caused by severe coronary artery disease.,Quantitative imaging in medicine and surgery,2024,39429601
Uncommon presentation of Castleman disease,Uncommon presentation of Castleman disease in the duodenum: a case description and computed tomography imaging analysis.,Quantitative imaging in medicine and surgery,2024,39429597
T magnetic resonance imaging for brain disease,Comparison of single shot and multishot diffusion-weighted imaging in 5-T magnetic resonance imaging for brain disease diagnosis.,Quantitative imaging in medicine and surgery,2024,39429579
Cognition mediates the relationship between white matter hyperintensity and motor function in patients with cerebral small vessel disease,Cognition mediates the relationship between white matter hyperintensity and motor function in patients with cerebral small vessel disease: a cross-sectional study.,Quantitative imaging in medicine and surgery,2024,39429558
Arterial Lesion Location and Outcomes of Intracranial Atherosclerotic Disease,Arterial Lesion Location and Outcomes of Intracranial Atherosclerotic Disease.,"Stroke (Hoboken, N.J.)",2024,39429512
